id,name,address,rating,rating_n,accounting,airport,amusement_park,aquarium,art_gallery,atm,bakery,bank,bar,beauty_salon,bicycle_store,book_store,bowling_alley,bus_station,cafe,campground,car_dealer,car_rental,car_repair,car_wash,casino,cemetery,church,city_hall,clothing_store,convenience_store,courthouse,dentist,department_store,doctor,drugstore,electrician,electronics_store,embassy,fire_station,florist,funeral_home,furniture_store,gas_station,gym,hair_care,hardware_store,hindu_temple,home_goods_store,hospital,insurance_agency,jewelry_store,laundry,lawyer,library,light_rail_station,liquor_store,local_government_office,locksmith,lodging,meal_delivery,meal_takeaway,mosque,movie_rental,movie_theater,moving_company,museum,night_club,painter,park,parking,pet_store,pharmacy,physiotherapist,plumber,police,post_office,primary_school,real_estate_agency,restaurant,roofing_contractor,rv_park,school,secondary_school,shoe_store,shopping_mall,spa,stadium,storage,store,subway_station,supermarket,synagogue,taxi_stand,tourist_attraction,train_station,transit_station,travel_agency,university,veterinary_care,zoo,time_spent_1,time_spent_2,X1_1,X1_2,X1_3,X1_4,X1_5,X1_6,X1_7,X1_8,X1_9,X1_10,X1_11,X1_12,X1_13,X1_14,X1_15,X1_16,X1_17,X1_18,X1_19,X1_20,X1_21,X1_22,X1_23,X1_24,X2_1,X2_2,X2_3,X2_4,X2_5,X2_6,X2_7,X2_8,X2_9,X2_10,X2_11,X2_12,X2_13,X2_14,X2_15,X2_16,X2_17,X2_18,X2_19,X2_20,X2_21,X2_22,X2_23,X2_24,X3_1,X3_2,X3_3,X3_4,X3_5,X3_6,X3_7,X3_8,X3_9,X3_10,X3_11,X3_12,X3_13,X3_14,X3_15,X3_16,X3_17,X3_18,X3_19,X3_20,X3_21,X3_22,X3_23,X3_24,X4_1,X4_2,X4_3,X4_4,X4_5,X4_6,X4_7,X4_8,X4_9,X4_10,X4_11,X4_12,X4_13,X4_14,X4_15,X4_16,X4_17,X4_18,X4_19,X4_20,X4_21,X4_22,X4_23,X4_24,X5_1,X5_2,X5_3,X5_4,X5_5,X5_6,X5_7,X5_8,X5_9,X5_10,X5_11,X5_12,X5_13,X5_14,X5_15,X5_16,X5_17,X5_18,X5_19,X5_20,X5_21,X5_22,X5_23,X5_24,X6_1,X6_2,X6_3,X6_4,X6_5,X6_6,X6_7,X6_8,X6_9,X6_10,X6_11,X6_12,X6_13,X6_14,X6_15,X6_16,X6_17,X6_18,X6_19,X6_20,X6_21,X6_22,X6_23,X6_24,X7_1,X7_2,X7_3,X7_4,X7_5,X7_6,X7_7,X7_8,X7_9,X7_10,X7_11,X7_12,X7_13,X7_14,X7_15,X7_16,X7_17,X7_18,X7_19,X7_20,X7_21,X7_22,X7_23,X7_24
ChIJMScuIFVlykwRMCgXCA0kNBI,Smitty's Pub,"1127 North Avenue, Burlington",4,121,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,35,35,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,48,50,46,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,40,54,54,40,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,59,77,70,45,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,2,9,28,54,79,100,82,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,18,22,34,56,81,87,64,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,34,42,37,25,17,12,8,0,0,0
ChIJw9B1n6d7ykwRaGVqVit-s2I,Switchback Brewing Co.,"160 Flynn Avenue, Burlington",4.7,235,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,29,28,26,21,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,29,30,28,22,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,45,49,44,32,20,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,88,100,97,91,81,60,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,29,35,26,12,0,0,0,0,0,0,0
ChIJR5Sinwd7ykwR4r-hlFsx9BA,St. John's Club,"9 Central Avenue, Burlington",4.4,35,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,38,47,32,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,23,32,35,28,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,27,32,29,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,32,57,66,53,28,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,32,62,83,81,56,27,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,84,83,100,86,44,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,15,17,20,28,33,22,6,0,0,0
ChIJ42RNqu16ykwRMVkWm7hkI8k,Olde Northender Pub,"23 North Street, Burlington",4.5,99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2,2,0,0,0,0,0,0,9,14,17,17,24,31,26,17,17,21,26,29,29,24,17,9,4,2,0,0,0,0,0,0,2,4,14,21,26,21,14,12,12,17,24,29,29,26,19,14,7,4,0,0,0,0,0,0,2,7,12,21,31,41,43,43,36,26,21,36,68,82,53,17,2,2,0,0,0,0,0,0,4,12,21,26,26,19,14,14,21,39,58,73,75,63,46,31,21,17,0,0,0,0,0,0,24,29,31,36,39,41,41,41,36,31,31,36,46,46,34,19,7,0,0,0,0,0,0,0,0,0,9,31,60,65,46,36,41,46,48,56,78,100,75,34,12,4,0,0,0,0,0,0,9,14,19,24,29,34,36,36,34,31,29,41,75,68,26,7
ChIJSak80at7ykwRUxRmWCJgcKA,Restaurant Poco,"55 Main Street, Burlington",4.7,87,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,54,71,69,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,52,56,52,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,56,77,86,79,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,62,96,100,79,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJ564szPt6ykwR4W4tIUZxqiI,Shanty on the Shore,"181 Battery Street, Burlington",4.2,781,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,41,23,6,13,42,68,58,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,22,23,28,40,48,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,34,35,34,30,48,100,80,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,67,79,78,78,88,94,79,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,38,37,28,23,23,21,12,4,0,0,0
ChIJixTcJvF6ykwRF5_8Ii_PP9I,Hen of the Wood - Burlington,"55 Cherry Street, Burlington",4.7,707,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,35,42,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,66,48,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,60,55,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,62,66,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,78,75,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,95,100,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,66,78,68,0,0,0
ChIJw7wl6bJwykwRugqpoZGSygk,Citizen Cider,"316 Pine Street #114, Burlington",4.6,1199,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,40,44,46,52,64,76,74,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,66,81,75,56,41,36,37,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,57,73,71,58,44,37,36,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,74,89,90,82,75,70,64,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,67,89,100,98,92,86,73,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,48,59,58,45,0,0,0,0,0,0,0
ChIJQx7g2Kh7ykwRKjba1exV4-w,Queen City Brewery,"703 Pine Street, Burlington",4.6,146,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,26,25,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,26,29,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,12,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,28,36,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,36,43,45,54,68,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,82,98,100,91,71,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,11,14,17,16,0,0,0,0,0
ChIJy-msUot7ykwRIaj1YGIu_hE,Dedalus Wine Bar,"388 Pine Street, Burlington",4.7,185,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,8,19,23,15,8,16,40,70,81,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,14,16,16,22,39,61,69,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,28,28,19,19,30,46,54,54,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,30,46,35,29,42,54,56,43,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,100,40,38,47,56,61,63,60,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,39,52,54,53,57,69,77,74,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,42,54,60,56,49,45,47,47,35,0,0,0,0
